itemID,rating,userID,timestamp
0700026657,5,A1HP7NVNPFMA4N,1445040000
6050036071,5,A3MKO61QMJ8V6V,1497312000
9629971372,1,A3BR8K6BJMIBEY,1248048000
9629971372,5,A1YC9RVAWAAUAN,1361750400
9882106463,5,ALJO1MOF8TMNO,1359072000
B000006OVL,4,A3BF2HDAZIKFIM,1304035200
B00000DMB6,5,A11TAMY84YJETI,1447459200
B00000DMAA,5,ABSX5TGEGRH76,1020470400
B00000DMAT,5,A1LZJDKP74F5S7,1400889600
B00000DMAT,5,A36Q31ST0TLCKX,1175644800
B00000DMAX,5,A2CJTOPN6T3TIT,1434844800
B00000DMAX,5,ASLYR9GYSE5RL,1236038400
B00000DMB3,5,A1OZ5AQ5A0N9YO,1060214400
B00000DMAR,3,APQ8ZK7Z3BYVS,1283385600
B00000F1GM,5,A3KP7V8U8HV282,1437004800
B00000F1GM,5,A1GCIOKPZKFGWN,1144454400
B00000I1BT,5,ACSZTM3KHFPBL,1107302400
B00000I1C0,5,A1YMLZ7281LYYG,1031961600
B00000I1BX,5,A3E8TYDY1EEYUB,1382659200
B00000I1BF,5,AYYBJ6IN87AP4,1496016000
B00000I1BS,4,A3ULPB81JD4OGA,1462924800
B00000I1BJ,5,A270O2KFBD8K6W,1039392000
B00000IFRI,4,A55TVW2SE2JXK,1370390400
B00000INR2,5,A1VVWDLQAV4G3U,1501372800
B00000INR2,5,A257SH0JF2TWTI,1357689600
B00000IZS1,4,A200POVWP6M5D8,1135036800
B00000J2W7,5,A36VUDT6RV5ZJC,1507680000
B00000J98X,1,A2N1C9JKI2C5XD,1026604800
B00000J97G,5,A3G0ISB7DKHSI2,1423526400
B00000JHPD,3,A2GBBDNZLYC4A9,998784000
B00000JL6V,5,A1TCSBXVCJPTTN,1419984000
B00000JQQM,4,A10EAONPHFORLH,1006041600
B00000JRSB,4,AU54AUT75ZMST,1356739200
B00000JRSB,5,A15CWT2KE4FZGI,1093824000
B00000JRSB,5,AO5JX7NWWWWL2,971308800
B00000K1V9,3,AQMWZIH22R6LE,1031356800
B00000K2G9,5,A1ERDXS0QLEVKB,977702400
B00000K1VA,5,A1ORUCZQN57ERG,1407456000
B00000K2R6,5,AWFDFLR1DA23A,980985600
B00000K2R4,1,A2RL9JHYNEJ1QR,981244800
B00000K2R9,4,A1N6L543CBMLO2,1207353600
B00000K4EC,4,A1MULJU2CF5KHX,1183161600
B00000K50S,5,A6DR3VOI9PIA5,1084320000
B00001IVB6,5,AT2BYFEVLVITT,958262400
B00001KUII,5,A26PAN8REXYBYH,986169600
B00001IVRD,5,A1EN5P2WZKWER8,1332547200
B00001LAE2,5,AM15CN25SOR2O,950140800
B00001LDC8,4,A1CA1A1MGW0I3J,1300665600
B00000K4KO,5,AZXWP83KBEA7N,1406332800
B00001OX4T,4,A8P7PEHS7PBSB,1407196800
B00001QEQ8,5,A2XVA2OGDYKKD,1174089600
B00001OWYW,5,AU54AUT75ZMST,1400976000
B00001SHNG,5,A3O6CVZN2V5JL1,1439424000
B00001X50L,5,A1PCQHQ6NPGL9F,1063152000
B00001XDUB,5,A3HR16QI7S44QF,1410480000
B00001XDKO,5,AM4ZQJ0IORVWG,951696000
B00001X50M,5,A25X1B130DBT48,1317168000
B00001YVIB,1,A2J57EQ9KPGXR9,978480000
B000021XYT,5,ACCMG3OU2N94U,1461024000
B000021Y5P,3,A1VW4NKCLT1D0T,1159920000
B000021XYY,4,A38TA13FXZC7V0,962755200
B0000296O5,5,ALSJVCDZKBID4,1405728000
B0000296O5,5,A57FRQYVOOXII,1235433600
B0000296O5,4,A19SDHETP6XAJU,1050537600
B00002AH2U,5,A3O4ZM66RUOGS7,1415318400
B00002CF9M,1,A270GTXRN8C88D,1003708800
B00002EPGW,5,AZ1EE5YKY0K8Y,968976000
B00002EPYV,3,A2O8NWM7V0B6BQ,1110585600
B00002EPZ2,5,ASLUIYTSDWH9H,1466553600
B00002DHEV,5,AWU32P0LFLNGJ,1346716800
B00002NDRY,2,A1HL50YP5W9CQ1,1039651200
B00002R28C,5,A1XS11O88LF748,1448582400
B00002R28C,5,A5LN8WI0J6K2E,1018137600
B00002ST28,5,A3CE8IX013IE0W,1234742400
B00002ST7F,5,AMBCCP48SUGSC,1449014400
B00002STF6,1,A32JKNQ6BABMQ2,1107388800
B00002ST6O,5,A93EK1533EVAD,1326672000
B00002STEZ,5,A1H8CCRGP1BC1D,1427673600
B00002STGL,5,A24U1EL8CS6APC,1104278400
B00002STH5,5,A1MZQ1IATLGS7H,966816000
B00002STUI,5,A2IGEPJJYKMOWK,1324684800
B00002STI2,5,A35DPRSDARERQL,1447200000
B00002STFD,5,ANQU9NFVU5Z8N,1444867200
B00002STFD,5,A3JX74J0LE924A,1027987200
B00002STXN,5,A296EEAAZJV9UU,1404345600
B00002STYS,4,A2BYRVGV0ZR30O,1455667200
B00002STGR,5,A1W6C5JU6VZSI5,1123632000
B00002STXG,5,A2QQHIY23PL7H3,1148083200
B00002SU5C,5,APBMA8IB0FPQF,991958400
B00002STXL,5,AAEEEEMAPWQV2,1460592000
B00002STXS,5,A2T36QLEQ7CWP1,1488326400
B00002SVBA,5,A3IG8OQSK5YR5D,1050364800
B00002SVG3,5,A3PRDWD3JMF485,1320278400
B00002SV55,3,AWG2O9C42XW5G,1147219200
B00002SVNY,5,A3VO5OWQTORBC8,1420156800
B00002SVEO,5,A2RLX5MG9VCAN1,1486339200
B00002SVOJ,3,A2582KMXLK2P06,1152662400
B00002SVUI,4,A22VIUJDSBJVFP,1037577600
B00002SVFZ,5,A2A0FBLKJN4ZY5,1286668800
B00002SVOG,5,AQMWZIH22R6LE,1030665600
B00002SU0O,3,A1JN0XW2EH4JQY,1097193600
B00002SUOV,5,A2AP4FMWF4NIUY,1004313600
B00002SWA1,5,A3DE438TF1A958,1395619200
B00002SWCO,5,A3MWMO2IOQDWBJ,1470268800
B00002SVWG,3,A1JVIBY9CKGREV,1410480000
B000031KJL,5,A3TIT9O3DUVZEB,999820800
B000034DC6,5,A1R36B8EO01ITE,1363305600
B000035XB0,2,A2X5BY0WP52C48,995932800
B000035XKY,5,AVE2J7PNE0L9C,1016496000
B000035XLE,5,A2OOEKI7T55N3I,1406246400
B000035Y08,1,A1V0JJ9RKMARC0,1111363200
B000035Y09,5,AD9OVPOUIJM6D,1069027200
B000034DCF,5,A2SKL0DYKLU2DF,1415232000
B000035Y13,2,A138826JMC0J3T,1036368000
B000034DCF,2,A10Y4N7SSESF5J,1356566400
B000035Y7N,5,AYVSX8W94ZDDU,1362960000
B000035Y7H,5,AXUOVXIGF9CKC,982713600
B000035Y7L,5,AC2EGSLMVFR5V,1350691200
B000035Y4T,5,A30OS0EIOEND41,1336953600
B000035Y6B,5,A1929P3Q08EA2R,1410739200
B000035Y3B,5,A367Z0IJ53WBK,1090713600
B000038ABO,5,A7BG8D790MLNN,1295136000
B000038AAN,5,A183NY18JXPHM4,1358294400
B000038IFX,5,A1JCAHHSO2BRCI,1260403200
B00003E4G9,5,A96K1ZGW56S2I,1068422400
B00003OTI3,3,A2NMICZ97JQ8QO,1468281600
B000046S41,3,A1ETWAUXL6Q3KB,1382918400
B0000488VP,4,A6FYM4PA7S4HD,974505600
B00004DITJ,4,A7RJ19XG5PDRU,980726400
B00004KHB4,4,A1N0XBKPRS9B3,969667200
B00004LN2T,1,AI03TUFUEKQV3,1087862400
B00004R8WH,1,A32JKNQ6BABMQ2,1107302400
B00004R9I2,1,A138826JMC0J3T,1035504000
B00004RFBE,3,A2G878W19L07IJ,981244800
B00004S9AB,5,A2F7KIN0SL00I6,975542400
B00004S99R,2,A6FYM4PA7S4HD,974505600
B00004S9AD,5,AYFXX888CUGA0,1445990400
B00004S9AF,5,A2R8UT3V7K2CQU,1312416000
B00004S9AF,3,A2IUYGYQYIWN9H,980726400
B00004SQPD,5,A21MDUHQXA6E6T,1456963200
B00004SQPD,1,A3KY3ZCUMPZXLO,1102982400
B00004SVOG,2,A2OSO72CPDTWP5,1398211200
B00004SVV7,5,A138826JMC0J3T,1040860800
B00004SVS5,5,AKUT3YW6BGP5Q,1419379200
B00004SVV8,5,A3LVS36JZ6684F,1408233600
B00004SVYE,5,A1E7VE4B34XYGU,1444608000
B00004SVXV,4,A2TCG2HV1VJP6V,1377907200
B00004SVVT,5,A3L4WAL6WPW2XX,1482969600
B00004SVXP,5,A22QEWJ8TBOFDQ,1445040000
B00004SVXG,5,A2KSRJFZ2R9JK3,1386806400
B00004SVXW,4,A2P5U7BDKKT7FW,1398470400
B00004SWLT,5,A3A8E2P5DSMQK0,1329350400
B00004SVSS,4,A138826JMC0J3T,1034208000
B00004SVS3,5,A34DTBYOTFP4RX,1221696000
B00004SVV9,5,A1X4JO8EJ1U5BR,1323820800
B00004SVYR,4,A2QDDY8D59K389,1193011200
B00004T4XK,5,A1TAPIIEM2YI7E,968544000
B00004T77P,3,A23DF9ROSHQ81I,1017878400
B00004TC6E,5,A2M7F9WN6BNG4Y,1422230400
B00004TC6E,1,A24XAFHKD0NT28,1136419200
B00004TEXR,5,A3LOT70VYHBZCT,976233600
B00004TFLJ,5,A2LWLWMA53BHW6,1006560000
B00004TMTK,5,A1PBFJBKDVN44A,1222214400
B00004TMG7,5,A2TCG2HV1VJP6V,1339459200
B00004TTHT,4,A1JGEQF8TQYHJ9,1019174400
B00004U1R3,5,A2KP62ZRRNHMGC,1425945600
B00004U47F,4,AHWY3EFVS3WQF,990144000
B00004U4R8,5,A1G3OPXJAPPZGX,1380153600
B00004U1QY,5,A2V6LOCH90VZ65,972604800
B00004U1R2,5,A1XUKDQJYFFJZV,1373068800
B00004U1R2,5,A385B7V3WXPN5T,1006905600
B00004U5VJ,1,A3BEJOL2X8PS8I,977270400
B00004U8K3,4,A3TNM3C9ENUCFW,1008374400
B00004U5VK,5,A20FCDYJBFBHW0,1404518400
B00004U5VK,4,ALJUWINH5ZW7S,990489600
B00004UE0V,5,A1JN0XW2EH4JQY,1096934400
B00004U5VF,5,A3NRFGTCEXYE71,967334400
B00004U5VF,5,AB7UBI5SP420X,978048000
B00004UG9B,3,A350WIW046F9JY,1461542400
B00004VP4M,5,A8L37C5ABVJDY,982540800
B00004W4WH,5,A3V6Z4RCDGRC44,986169600
B00004WFVZ,5,AYE5PXGPBMGIR,1364860800
B00004WGW1,4,A2QHS1ZCIQOL7E,1332979200
B00004WKN9,5,A2FXM5GBCPKJEI,988156800
B00004WMVL,3,AO5JX7NWWWWL2,972000000
B00004WLMA,5,A3DII4J55ZGA9B,1007510400
B00004XRBD,3,AHFOO6JD1HPLE,974160000
B00004Y57G,5,A312Y25JGN682H,1411171200
B00004Y57G,4,AHL3ES7DCWZJC,1184544000
B00004Y57G,4,AWFDFLR1DA23A,983404800
B00004YKI6,1,AZPMU427WH0RB,1008115200
B00004YMZY,5,A13M0UG4EEFBCA,1259971200
B00004YRQ9,5,ABPLNXF4QWP3U,1485129600
B00004YRQ9,5,A30M2596JGK42I,1397260800
B00004YRQA,5,ATM4TRYR3BU4R,1447718400
B00004YRQ9,5,A38QTTSHMHFTOS,1039996800
B00004YRQA,5,A3OIB2AUSWPUKW,1335484800
B00004YRQA,5,ATG55FKA9A4VW,976406400
B00004YZAO,5,A3FG0NHLEEEYIB,1389571200
B00004ZBOE,3,A3APEIJOQXE142,1013558400
B00004ZDFY,2,A20R03APZ2ITKR,1391385600
B00004ZDFY,4,AVVVDV91EX92M,995932800
B0000503MO,3,A1NMEHU3BMKBR8,1087171200
B0000503MO,5,A1MZQ1IATLGS7H,997401600
B000050FBJ,5,A2CSC5GCJ7AJ97,1442534400
B000050ZEN,1,A3H04M0RPD0T3H,1009929600
B000051QDD,5,A3W3CEGGU5XI9W,1249084800
B0000524PF,2,A1O5AU5ZLLFBOP,1020038400
B0000541Z7,4,A13HMBTTPGEFXN,1307232000
B000056KDW,5,ANNLMATZ4GOJP,1141430400
B000056SPM,5,A13CRTE7UUXI7U,1186617600
B000056Q1E,5,A2LHMDI2JXCFLU,981936000
B000059L4L,3,A13CRK8BPSJGRD,1013212800
B000059Z7R,5,A3Q6KRNB6VMNGE,985219200
B000059Z7G,4,A3EU0FX5OZZ32P,993340800
B00005A775,5,AMYERABSKRERB,1394755200
B00005A3I5,4,A1WH5J3AP5JR7H,1015286400
B00005ATSN,5,A2DDRD1JAGF5Z3,1202428800
B00005AV8W,5,A3GGMPRYCQ87CY,1091491200
B00005AW20,5,A30CG6CA9M3AWP,1280793600
B00005B70K,5,A1ME7N1ORVTEG5,1392508800
B00005B8G1,3,A3A6T4Y1BAFYXX,1451520000
B00005B8G1,5,A3EJT9V6AQR1Y7,1030665600
B00005B70Y,4,A34R8Q9R9GSG6M,1042588800
B00005BIG7,5,AQI2CW6UKF1ES,1048809600
B00005BJ9G,5,A119Q9NFGVOEJZ,1318204800
B00005BL00,3,A2GBBDNZLYC4A9,1003276800
B00005BOSF,4,A3R33KMESG0XGQ,1402617600
B00005BZCA,5,A3MPKF0YW84C7J,1448582400
B00005BK7X,5,A32G1BVLCHCYWG,994032000
B00005BZCH,2,A237ZAVKIOJFWX,1092268800
B00005CDR2,5,A2EM4TH5AFSSOG,1402099200
B00005CDR8,5,A2MCDETM30SKUC,1411084800
B00005CFHN,4,APP45XD85ARYL,1006646400
B00005J536,4,A1TDDR2KCKSW27,1055808000
B00005JC8D,5,A3HK65CAYLZI4E,1001721600
B00005K1Z3,3,AYMPVLWFKTAYE,1019174400
B00005LABJ,5,A298CLZ2HU4B8M,1009670400
B00005LBHM,5,AJO1E38XH2EWL,1473897600
B00005LOY9,4,A3FML88TDCFRFU,1001030400
B00005LOXE,5,A2FEGRJQNU51P9,1055980800
B00005LOW5,5,A2QUK0IPDPURA6,1012176000
B00005MDZ8,5,AUUEV3GZMOSOH,1452297600
B00005MDZY,5,AR8PH5EZVJPOD,1409356800
B00005ME6N,5,A2E2I6B878CRMA,1434412800
B00005ME6O,5,AM71VVMF7AK7R,1426809600
B00005ME6O,4,A3EU0FX5OZZ32P,1013904000
B00005MAMO,5,A1X7BL5ES784U6,1442534400
B00005MI42,4,AJJLP1BT8Q4UH,1412294400
B00005ML10,5,A3T2NNCL7F2345,1035504000
B00005MNRR,4,ALZ5Y1CE0DWQ1,1029801600
B00005N6ZL,5,A3ER878Z9WVNRO,1015372800
B00005N7YR,3,APZC5PRJVM0PY,1056067200
B00005N7YQ,4,A3S2EREJYBSG0H,1021593600
B00005N7YS,5,A1X55MCOL7LT8K,1012176000
B00005NCCR,5,AYD0SQ01HVCRT,1043280000
B00005NCCI,5,A21XZF5ZHKK5EM,1294099200
B00005NCAK,1,A6Y2B6HXZ72PW,1367193600
B00005NEAI,4,A1556D4KX49970,1012953600
B00005NCCA,5,A31TJWPGFOF2IH,1013040000
B00005NN5L,5,AA89T8FJD3ZRK,1040774400
B00005NN5J,5,A16TICCVKNHBT2,1376092800
